Datetime,AEP_MW
2004-12-31 010000,13478.0
2004-12-31 020000,12865.0
2004-12-31 030000,12577.0
2004-12-31 040000,12517.0
2004-12-31 050000,12670.0
2004-12-31 060000,13038.0
2004-12-31 070000,13692.0
2004-12-31 080000,14297.0
2004-12-31 090000,14719.0
2004-12-31 100000,14941.0
2004-12-31 110000,15184.0
2004-12-31 120000,15009.0
2004-12-31 130000,14808.0
2004-12-31 140000,14522.0
2004-12-31 150000,14349.0
2004-12-31 160000,14107.0
2004-12-31 170000,14410.0
2004-12-31 180000,15174.0
2004-12-31 190000,15261.0
2004-12-31 200000,14774.0
2004-12-31 210000,14363.0
2004-12-31 220000,14045.0
2004-12-31 230000,13478.0
2005-01-01 000000,12892.0
2004-12-30 010000,14097.0
2004-12-30 020000,13667.0
2004-12-30 030000,13451.0
2004-12-30 040000,13379.0
2004-12-30 050000,13506.0
2004-12-30 060000,14121.0
2004-12-30 070000,15066.0
2004-12-30 080000,15771.0
2004-12-30 090000,16047.0
2004-12-30 100000,16245.0
2004-12-30 110000,16377.0
2004-12-30 120000,16138.0
2004-12-30 130000,15886.0
2004-12-30 140000,15503.0
2004-12-30 150000,15206.0
2004-12-30 160000,15049.0
2004-12-30 170000,15161.0
2004-12-30 180000,16085.0
2004-12-30 190000,16508.0
2004-12-30 200000,16306.0
2004-12-30 210000,16223.0
2004-12-30 220000,15931.0
2004-12-30 230000,15207.0
2004-12-31 000000,14316.0
2004-12-29 010000,15223.0
2004-12-29 020000,14731.0
2004-12-29 030000,14503.0
2004-12-29 040000,14432.0
2004-12-29 050000,14531.0
2004-12-29 060000,15087.0
2004-12-29 070000,16018.0
2004-12-29 080000,16968.0
2004-12-29 090000,17149.0
2004-12-29 100000,17261.0
2004-12-29 110000,17194.0
2004-12-29 120000,17011.0
2004-12-29 130000,16749.0
2004-12-29 140000,16546.0
2004-12-29 150000,16403.0
2004-12-29 160000,16161.0
2004-12-29 170000,16380.0
2004-12-29 180000,17330.0
2004-12-29 190000,17738.0
2004-12-29 200000,17468.0
2004-12-29 210000,17093.0
2004-12-29 220000,16736.0
2004-12-29 230000,15984.0
2004-12-30 000000,14900.0
2004-12-28 010000,17580.0
2004-12-28 020000,17158.0
2004-12-28 030000,17002.0
2004-12-28 040000,16923.0
2004-12-28 050000,17191.0
2004-12-28 060000,17908.0
2004-12-28 070000,18944.0
2004-12-28 080000,19752.0
2004-12-28 090000,19882.0
2004-12-28 100000,19544.0
2004-12-28 110000,19309.0
2004-12-28 120000,18756.0
2004-12-28 130000,18201.0
2004-12-28 140000,17666.0
2004-12-28 150000,17203.0
2004-12-28 160000,16935.0
2004-12-28 170000,17207.0
2004-12-28 180000,18349.0
2004-12-28 190000,18815.0
2004-12-28 200000,18599.0
2004-12-28 210000,18480.0
2004-12-28 220000,18135.0
2004-12-28 230000,17112.0
2004-12-29 000000,16047.0
2004-12-27 010000,16718.0
2004-12-27 020000,16150.0
2004-12-27 030000,16090.0
