Datetime,AEP_MW
2004-12-30 200000,16306.0
2004-12-30 210000,16223.0
2004-12-30 220000,15931.0
2004-12-30 230000,15207.0
2004-12-31 000000,14316.0
2004-12-29 010000,15223.0
2004-12-29 020000,14731.0
2004-12-29 030000,14503.0
2004-12-29 040000,14432.0
2004-12-29 050000,14531.0
2004-12-29 060000,15087.0
2004-12-29 070000,16018.0
2004-12-29 080000,16968.0
2004-12-29 090000,17149.0
2004-12-29 100000,17261.0
2004-12-29 110000,17194.0
2004-12-29 120000,17011.0
2004-12-29 130000,16749.0
2004-12-29 140000,16546.0
2004-12-29 150000,16403.0
2004-12-29 160000,16161.0
2004-12-29 170000,16380.0
2004-12-29 180000,17330.0
2004-12-29 190000,17738.0
2004-12-29 200000,17468.0
2004-12-29 210000,17093.0
2004-12-29 220000,16736.0
2004-12-29 230000,15984.0
2004-12-30 000000,14900.0
2004-12-28 010000,17580.0
2004-12-28 020000,17158.0
2004-12-28 030000,17002.0
2004-12-28 040000,16923.0
2004-12-28 050000,17191.0
2004-12-28 060000,17908.0
2004-12-28 070000,18944.0
2004-12-28 080000,19752.0
2004-12-28 090000,19882.0
2004-12-28 100000,19544.0
2004-12-28 110000,19309.0
2004-12-28 120000,18756.0
2004-12-28 130000,18201.0
2004-12-28 140000,17666.0
2004-12-28 150000,17203.0
2004-12-28 160000,16935.0
2004-12-28 170000,17207.0
2004-12-28 180000,18349.0
2004-12-28 190000,18815.0
2004-12-28 200000,18599.0
2004-12-28 210000,18480.0
2004-12-28 220000,18135.0
2004-12-28 230000,17112.0
2004-12-29 000000,16047.0
2004-12-27 010000,16718.0
2004-12-27 020000,16150.0
2004-12-27 030000,16090.0
2004-12-27 040000,16223.0
2004-12-27 050000,16652.0
2004-12-27 060000,17317.0
2004-12-27 070000,18384.0
2004-12-27 080000,19366.0
2004-12-27 090000,19772.0
2004-12-27 100000,19792.0
2004-12-27 110000,19697.0
2004-12-27 120000,19193.0
2004-12-27 130000,18640.0
2004-12-27 140000,18066.0
2004-12-27 150000,17692.0
2004-12-27 160000,17522.0
2004-12-27 170000,17933.0
2004-12-27 180000,19353.0
2004-12-27 190000,20046.0
2004-12-27 200000,20127.0
2004-12-27 210000,20049.0
2004-12-27 220000,19751.0
2004-12-27 230000,19038.0
2004-12-28 000000,18133.0
2004-12-26 010000,15059.0
2004-12-26 020000,14617.0
2004-12-26 030000,14452.0
2004-12-26 040000,14465.0
2004-12-26 050000,14561.0
2004-12-26 060000,14862.0
2004-12-26 070000,15318.0
2004-12-26 080000,15865.0
2004-12-26 090000,16421.0
2004-12-26 100000,16751.0
2004-12-26 110000,16521.0
2004-12-26 120000,16047.0
2004-12-26 130000,15790.0
2004-12-26 140000,15702.0
2004-12-26 150000,15488.0
2004-12-26 160000,15607.0
2004-12-26 170000,16012.0
2004-12-26 180000,17243.0
2004-12-26 190000,17922.0
2004-12-26 200000,18064.0
2004-12-26 210000,18086.0
2004-12-26 220000,17834.0
2004-12-26 230000,17392.0
2004-12-27 000000,16842.0
2004-12-25 010000,16669.0
2004-12-25 020000,16218.0
2004-12-25 030000,16135.0
2004-12-25 040000,16107.0
2004-12-25 050000,16229.0
2004-12-25 060000,16470.0
2004-12-25 070000,16935.0
2004-12-25 080000,17548.0
2004-12-25 090000,17927.0
2004-12-25 100000,17837.0
2004-12-25 110000,17453.0
2004-12-25 120000,16891.0
2004-12-25 130000,15967.0
2004-12-25 140000,15088.0
2004-12-25 150000,14564.0
2004-12-25 160000,14394.0
2004-12-25 170000,14745.0
2004-12-25 180000,15856.0
2004-12-25 190000,16502.0
2004-12-25 200000,16678.0
2004-12-25 210000,16842.0
